outcome,treatment,female,black,hispanic,pretest,dadmiss,dadvoc,dadsome,dadcoll,mommiss,momvoc,momsome,momcoll,fincome,fincmiss,ownhome,perwhite,urban,cue80,stypc80,stwmfg80,dist2yr,dist4yr,dadpostgradhs,mompostgradhs
13,1,0,0,0,43.35,1,0,0,0,0,0,0,1,31500,0,1,97,0,5.4,13301,8.85,5,8,0,1
15,1,1,0,0,49.27,1,0,0,0,0,1,0,0,22500,0,0,100,0,7.2,13301,8.85,8,8,0,1
13,1,1,0,0,57.88,0,0,0,1,0,0,0,1,62000,0,1,100,0,5.1,13301,8.85,10,1,1,1
13,1,0,0,0,53.5,0,0,0,0,0,0,0,1,18000,0,1,72,0,4,11997,9.68,5,50,0,1
15,1,0,0,0,58.6,0,1,0,0,0,0,0,0,62000,0,1,72,0,4,11997,9.68,5,50,1,0
12,1,0,1,0,50.43,0,0,0,0,0,0,0,0,9500,0,1,69,0,10.3,11997,9.68,1,1,0,0
14,1,1,1,0,35.79,1,0,0,0,1,0,0,0,3500,0,1,13,0,9.2,10815,7.18,35,27,0,0
13,1,0,1,0,34.34,1,0,0,0,1,0,0,0,9500,0,1,11,0,5,10549,7.54,1,65,0,0
14,1,1,1,0,46.42,1,0,0,0,1,0,0,0,9500,0,0,11,0,5,10549,7.54,1,65,0,0
12,1,1,1,0,38.67,1,0,0,0,1,0,0,0,3500,0,0,49,0,5,10549,7.54,8,6,0,0
14,1,1,1,0,38.43,0,0,0,0,0,0,0,0,22500,0,1,49,0,5,10549,7.54,8,6,0,0
12,1,0,1,0,33.98,1,0,0,0,1,0,0,0,14000,0,0,38,1,5.5,10815,7.18,10,5,0,0
15,1,0,1,0,55.35,0,0,0,0,0,0,0,0,18000,0,1,35,1,9.2,11997,9.68,3,1,0,0
12,1,1,1,0,42.58,1,0,0,0,0,0,0,0,3500,0,0,35,1,9.2,11997,9.68,3,1,0,0
12,1,1,1,0,42.74,0,0,0,0,0,0,0,0,22500,0,0,35,1,9.2,11997,9.68,3,1,0,0
12,1,0,0,0,38.9,0,0,0,0,1,0,0,0,18000,0,1,35,1,9.2,11997,9.68,3,1,0,0
14,1,1,1,0,37.32,1,0,0,0,1,0,0,0,9500,0,0,35,1,9.2,11997,9.68,3,1,0,0
12,1,1,1,0,42.73,0,1,0,0,0,0,0,0,18000,0,1,54,0,8.5,8977,7.33,40,10,1,0
12,1,0,0,0,59.26,0,0,1,0,0,0,0,1,22500,0,1,86,0,5.6,10549,7.54,5,30,1,1
13,1,0,0,0,58.03,0,0,1,0,0,0,0,1,62000,0,1,86,0,5.6,10549,7.54,5,30,1,1
14,1,1,1,0,52.54,0,0,0,0,0,0,0,0,18000,0,1,86,0,5.6,10549,7.54,5,30,0,0
13,1,0,0,0,48.57,0,0,1,0,0,0,0,0,22500,0,1,86,0,5.6,10549,7.54,5,30,1,0
13,1,0,1,0,55.29,0,0,0,0,1,0,0,0,14000,0,1,22,1,4.6,10815,7.18,7,7,0,0
12,1,0,0,0,47.52,1,0,0,0,0,0,0,1,14000,0,1,22,1,4.6,10815,7.18,7,7,0,1
12,1,1,0,0,42.75,0,0,0,0,0,0,0,0,62000,0,1,22,1,4.6,10815,7.18,7,7,0,0
12,1,1,1,0,31.6,0,0,0,0,0,1,0,0,18000,0,0,70,0,4,10549,7.54,12,20,0,1
13,1,0,0,0,39.98,0,0,0,0,0,0,0,0,18000,0,1,70,0,4,10549,7.54,12,20,0,0
14,1,0,0,0,55.28,0,1,0,0,0,0,0,0,9500,0,0,91,0,6.3,10549,7.54,2,40,1,0
12,1,0,0,0,48.99,0,0,1,0,0,0,0,0,18000,0,1,91,0,6.3,10549,7.54,2,40,1,0
12,1,1,1,0,37.71,1,0,0,0,1,0,0,0,14000,0,0,47,0,6.4,10549,7.54,1,50,0,0
13,1,1,0,0,45.8,0,0,0,1,0,0,0,0,62000,0,1,47,0,6.4,10549,7.54,1,50,1,0
12,1,0,0,0,47.8,0,0,0,0,0,1,0,0,9500,0,1,87,0,4.7,10549,7.54,0,7,0,1
